productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
main,1,DF001,EUR 10;US-USD 10;DE-EUR 8;IT-EUR 8;GB-EUR 8,standard,Dog>Dog Food,https://imgur.com/51eU1Cb.png;https://imgur.com/CBywwxR.png;https://imgur.com/yavIY3Z.png,Brit premium food,"Brit premium-premium food with a high meat content of 30%, including chicken meat 14%. The composition is perfectly balanced and meets all needs depending on age and breed.",brit-dog-food,,,,,,,,,,,,,,,,,T2340,11111,ABC901,11111,Brit,no,,,large,brown,brown,Shelf life - 18 months. Energy value per 1 kg: 3820 kcal/15994 KJ.,,,,,,Puppy,,TRUE,,,
main,1,DF002,EUR 12;US-USD 12;DE-EUR 10;IT-EUR 10;GB-EUR 10,standard,Dog>Dog Food,https://imgur.com/ArA6P0P.jpeg;https://imgur.com/yavIY3Z.jpeg,Honey Fleshier Food,Strong bones and healthy teeth healthy skin and shiny hair healthy digestion.,honey-dog-food,,,,,,,,,,,,,,,,,T2341,11112,ABC902,11112,Honey,no,,,medium,brown,brown,"Composition: dehydrated turkey meat, rice, chicken fat, beet pulp, flaxseed, hydrolyzed chicken liver, yeast, minerals and vitamins",,,,,,Adult,,TRUE,,,
main,1,DF003,EUR 15;US-USD 15;DE-EUR 12;IT-EUR 12;GB-EUR 12,standard,Dog>Dog Food,https://imgur.com/2fw8giw.png;https://imgur.com/QbsaECP.png,Gold's dog feed for sensitive dogs,"The mono-protein food is suitable for dogs suffering from food intolerance or sensitive digestive system. Careful processing retains maximum taste and nutritional properties. Feed has an optimal ratio of protein, complex slow carbohydrates and fats",golds-dog-food,,,,,,,,,,,,,,,,,T2342,11113,ABC903,11113,Gold,no,,,medium,brown,brown,With turkey and rice Nero Gold Super Premium Sensitive Turkey 2500 g.,,,,,,Adult,,TRUE,,,
main,1,DF004,EUR 18;US-USD 18;DE-EUR 15;IT-EUR 15;GB-EUR 15,standard,Dog>Dog Food,https://imgur.com/1CLjYgj.png;https://imgur.com/mqAo4Rh.png;https://imgur.com/E26ZEzs.png,Monge Dog Speciality Mini,Nutrient-rich food for puppies.Dry food for dogs is basic food. This is option number one for storage and meals. The feeding rate is indicated on the package.,monge-dog-food,,,,,,,,,,,,,,,,,T2343,11114,ABC904,11114,Monge,no,,,medium,brown,brown,"For puppies, lambs/ris/cartophel, 2.5 kg.",,,,,,Adult,,TRUE,,,
main,1,DF005,EUR 12;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Dog>Dog Food,https://imgur.com/Q8zwOj9.jpeg,Royal Canin Medium,"Royal Canin product Medium puppy is designed for mid-breed puppies (adult dog weight 11 to 25 kg) aged 2 to 12 months. Thanks to the high protein content of Royal Canin Medium puppy supports the harmonious development of the puppy, the growth of its bones and muscles during a relatively short growth phase.",royal-dog-food,,,,,,,,,,,,,,,,,T2344,11115,ABC905,11115,Canin,no,,,medium,brown,brown,"For puppies, 2-12 months, 3 kg Royal Canin",,,,,,Puppy,,TRUE,,,
main,1,DT001B0,EUR 4;US-USD 4;DE-EUR 4;IT-EUR 4;GB-EUR 4,standard,Dog>Dog Toys,https://imgur.com/i9Tc3h1.png;https://imgur.com/AO0t17y.png;https://imgur.com/sj11azA.png;https://imgur.com/mNla5f1.png,Flying Rings,"Get ready for endless fun and excitement with our Flying Ring Dog Toy! Made with safe and non-toxic materials, this flying disc is perfect for keeping your pet happy, active, and entertained.",flying-dog-toys-green,,,,,,,,,,,,,,,,,T2345,11116,ABC906,11116,EVAGOLD,no,,,medium,green,green,Large breeds,,,,,,Puppy,,TRUE,,,
main,1,DT002B0,EUR 3;US-USD 3;DE-EUR 3;IT-EUR 3;GB-EUR 3,standard,Dog>Dog Toys,https://imgur.com/nmlJlal.png;https://imgur.com/0MqE6cP.png,Balls Interactive Rubber,"Stimulate your dog mentally-the side troughs and hollow center allow you to put in snacks or other small snacks. As a reward for finding delicious food, dogs challenge their intelligence, burn extra energy, and prevent mischief.",balls-dog-toys-green,,,,,,,,,,,,,,,,,T2346,11117,ABC907,11117,EVAGOLD,no,,,small,green,green,For puppies,,,,,,All,,TRUE,,,
main,1,DT003B0,EUR 2 ;US-USD 2;DE-EUR 2;IT-EUR 2;GB-EUR 2,standard,Dog>Dog Toys,https://imgur.com/f9sZHRl.png;https://imgur.com/Iz1l4qG.png,Squeak Screaming Chicken,"Squeaky rubber chicken is also a interactive dog toy, increase the intimacy between you and your dog.squeaky chew toy for your lovely pet to play. Material: Rubber",squeak-dog-toys-small,,,,,,,,,,,,,,,,,T2347,11118,ABC908,11118,EVAGOLD,no,,,small,yellow,yellow,For puppies,,,,,,Puppy,,TRUE,,,
main,1,DT004,EUR 7;US-USD 7;DE-EUR 7;IT-EUR 7;GB-EUR 7,standard,Dog>Dog Toys,https://imgur.com/2jn1eF7.png,Durable Braid Rope,"The Cotton Rope Dog Toy can help floss dogs’ teeth and gums and improve dental hygiene. As they chew to play and also satisfy their natural instinct of chew to correct bad biting behaviour and prevent chewing damage of furniture, mats and shoes.",durable-dog-toys,,,,,,,,,,,,,,,,,T2348,11119,ABC909,11119,EVAGOLD,no,,,small,white,white,For dogs up to 35 lbs,,,,,,Adult,,TRUE,,,
main,1,DT005,EUR 6;US-USD 6;DE-EUR 6;IT-EUR 6;GB-EUR 6,standard,Dog>Dog Toys,https://imgur.com/uDh1eVV.png,Nylabone Teething Rings,"The Puppy Teething Rings chew toy is made with soft, textured, puppy-friendly material to satisfy the chewing needs of teething pups and encourages positive chewing habits from a young age.",nylabone-dog-toys,,,,,,,,,,,,,,,,,T2349,11120,ABC9010,11120,ChewsBest,no,,,small,green,green,For dogs up to 35 lbs,,,,,,Puppy,,TRUE,,,
main,1,DT006,EUR 5;US-USD 5;DE-EUR 5;IT-EUR 5;GB-EUR 5,standard,Dog>Dog Toys,https://imgur.com/8B2OV9f.png;https://imgur.com/NEHILvc.png,Petstages,"The ORKA material is chewy which keeps a dog's interest and satisfies his desire to gnaw. The toys bounce and float, making if fun to throw, chase and retrieve.",petstages-dog-toys,,,,,,,,,,,,,,,,,T2350,11121,ABC9011,11121,ChewsBest,no,,,small,blue,blue,"The ORKA Bone is the perfect shape to chew, carry and chase!;",,,,,,Adult,,TRUE,,,
main,1,DT008,EUR 10;US-USD 10;DE-EUR 10;IT-EUR 10;GB-EUR 10,standard,Dog>Dog Toys,https://imgur.com/GpAItWf.png;https://imgur.com/vNU6AIt.png,Flying Disc-cleaning,"Dog toys can not only enhance the relationship between the pet and owners, but also relieve boredom and relieve pet's stress and loneliness, let the pet enjoy happy.",disc-dog-toys,,,,,,,,,,,,,,,,,T2351,11122,ABC9013,11122,TOYSGREEN,no,,,medium,red,red,"Material: Plastic Diameter: 18cm/7.09""",,,,,,Puppy,,TRUE,,,
main,1,DT009,EUR 6;US-USD 6;DE-EUR 6;IT-EUR 6;GB-EUR 6,standard,Dog>Dog Toys,https://imgur.com/ZzqrVLD.png;https://imgur.com/z3zVPrU.png,Toy «Hippo»,"Toy for dogs «Hippo» is a great new toy for your dog! Perfect for chewing, throwing, and cuddling, this soft squeaky toy will amuse your pet for hours of fun.",hippo-dog-toys,,,,,,,,,,,,,,,,,T2352,11123,ABC9014,11123,EVAGOLD,no,,,small,gray,gray,For puppies,,,,,,Puppy,,TRUE,,,
main,1,DT0010,EUR 8;US-USD 8;DE-EUR 8;IT-EUR 8;GB-EUR 8,standard,Dog>Dog Toys,https://imgur.com/FO6FGph.png,Toy «Monkey»,"Toy for dogs «Hippo» is a great new toy for your dog! Perfect for chewing, throwing, and cuddling, this soft squeaky toy will amuse your pet for hours of fun.",monkey-dog-toys,,,,,,,,,,,,,,,,,T2353,11124,ABC9015,11124,EVAGOLD,no,,,small,brown,brown,For puppies,,,,,,Puppy,,TRUE,,,
main,1,DA001B,EUR 13;US-USD 13;DE-EUR 13;IT-EUR 13;GB-EUR 13,standard,Dog>Dog Accessories,https://imgur.com/eoSqddo.png,Mason Cash 'Bone' Bowl,Made from stoneware for durability and stability.Keeps food and water cooler for longer.,bone-dog-accessories,,,,,,,,,,,,,,,,,T2354,11125,ABC9016,11125,TOYSGREEN,no,,,small,gray,gray,,,,,,,Adult,,TRUE,,,
main,1,DA002B,EUR 11;US-USD 11;DE-EUR 11;IT-EUR 11;GB-EUR 11,standard,Dog>Dog Accessories,https://imgur.com/ltyWs8Q.png,Diva' Ceramic Bowl,Aid your dog's digestion and keep them where you put them with the Ceramic  Diner Dog Bowls,diva-dog-accessories,,,,,,,,,,,,,,,,,T2355,11126,ABC9017,11126,PetHome,no,,,small,pink,pink,,,,,,,Puppy,,TRUE,,,
main,1,DA003B,EUR 17;US-USD 17;DE-EUR 17;IT-EUR 17;GB-EUR 17,standard,Dog>Dog Accessories,https://imgur.com/RyqixWT.png;https://imgur.com/mHDvNRx.png;https://imgur.com/g60ivzD.png,Bamboo and Ceramic Double Bowls,"Two delightfully stylish bowls in either blue or green in a rustic glazed finish, raised on a naural bamboo stand, the bowls are dishwasher safe for easy cleaning, while the bamboo wipes clean in case of enthusiastic diners.",bamboo-dog-accessories,,,,,,,,,,,,,,,,,T2356,11127,ABC9018,11127,PetHome,no,,,medium,blue,blue,,,,,,,Adult,,TRUE,,,
